filename,width,height,class,xmin,ymin,xmax,ymax
100000992.bmp,1154,814,ship,445,173,536,360
100000992.bmp,1154,814,ship,611,325,678,366
100000992.bmp,1154,814,ship,707,375,828,452
100000992.bmp,1154,814,ship,849,452,970,508
100000992.bmp,1154,814,ship,1002,504,1065,547
100000992.bmp,1154,814,ship,1108,505,1148,526
100000993.bmp,1157,821,ship,301,232,345,302
100000993.bmp,1157,821,ship,298,135,942,480
100000993.bmp,1157,821,ship,883,469,930,525
100000994.bmp,1057,784,ship,199,272,401,758
100000995.bmp,1148,812,ship,256,178,460,667
100000995.bmp,1148,812,ship,445,425,573,761
100000995.bmp,1148,812,ship,699,140,809,398
100000995.bmp,1148,812,ship,755,401,887,625
100000995.bmp,1148,812,ship,654,8,718,55
100000995.bmp,1148,812,ship,80,150,97,171
100000995.bmp,1148,812,ship,847,676,917,722
100000997.bmp,894,789,ship,199,82,443,675
100000998.bmp,1146,813,ship,308,419,444,723
100000998.bmp,1146,813,ship,464,1,597,307
100001001.bmp,1191,813,ship,328,498,707,560
100001001.bmp,1191,813,ship,268,304,591,362
100001001.bmp,1191,813,ship,1107,676,1161,699
100001001.bmp,1191,813,ship,331,598,488,645
100001001.bmp,1191,813,ship,335,166,355,209
100001001.bmp,1191,813,ship,317,175,342,222
100001002.bmp,1166,808,ship,364,226,554,557
100001002.bmp,1166,808,ship,555,336,753,664
100001003.bmp,1162,824,ship,70,412,330,761
100001003.bmp,1162,824,ship,338,53,609,394
100001007.bmp,1191,827,ship,282,113,985,327
100001007.bmp,1191,827,ship,305,425,1020,639
100001008.bmp,1185,831,ship,426,595,820,696
100001008.bmp,1185,831,ship,445,669,831,769
100001009.bmp,1042,779,ship,216,190,597,469
100001009.bmp,1042,779,ship,268,153,460,300
100001012.bmp,1145,820,ship,115,291,771,482
100001015.bmp,1182,824,ship,250,327,693,594
100001015.bmp,1182,824,ship,335,93,669,287
100001015.bmp,1182,824,ship,130,444,658,768
100001016.bmp,1193,836,ship,109,495,449,600
100001016.bmp,1193,836,ship,96,599,419,700
100001016.bmp,1193,836,ship,526,704,846,808
100001016.bmp,1193,836,ship,560,608,879,713
100001016.bmp,1193,836,ship,205,114,530,217
100001016.bmp,1193,836,ship,638,213,953,312
100001016.bmp,1193,836,ship,672,117,998,219
100001019.bmp,1127,788,ship,135,528,674,713
100001019.bmp,1127,788,ship,522,242,568,299
100001020.bmp,1160,829,ship,461,262,628,762
100001021.bmp,1141,793,ship,332,243,478,642
100001023.bmp,1158,824,ship,652,88,822,677
100001024.bmp,986,749,ship,305,317,750,551
100001025.bmp,1061,782,ship,493,313,664,382
100001025.bmp,1061,782,ship,472,370,650,431
100001025.bmp,1061,782,ship,690,425,869,482
100001025.bmp,1061,782,ship,694,677,757,697
100001025.bmp,1061,782,ship,669,685,691,727
100001026.bmp,1193,827,ship,103,45,735,383
100001026.bmp,1193,827,ship,404,414,1015,719
100001027.bmp,1172,816,ship,351,558,659,730
100001027.bmp,1172,816,ship,304,443,664,635
100001027.bmp,1172,816,ship,682,300,973,456
100001028.bmp,1165,811,ship,250,306,707,432
100001030.bmp,1163,813,ship,94,264,520,640
100001030.bmp,1163,813,ship,166,476,196,549
100001030.bmp,1163,813,ship,367,174,399,193
100001031.bmp,1165,810,ship,322,176,420,666
100001033.bmp,1180,832,ship,542,427,593,488
100001033.bmp,1180,832,ship,603,502,646,558
100001033.bmp,1180,832,ship,652,562,695,616
100001033.bmp,1180,832,ship,774,551,831,594
100001033.bmp,1180,832,ship,722,589,781,643
100001033.bmp,1180,832,ship,764,462,818,535
100001033.bmp,1180,832,ship,210,310,612,763
100001033.bmp,1180,832,ship,656,68,1098,134
100001034.bmp,1182,820,ship,615,236,1023,371
100001034.bmp,1182,820,ship,585,331,995,464
100001034.bmp,1182,820,ship,465,560,875,691
100001034.bmp,1182,820,ship,31,456,138,609
100001034.bmp,1182,820,ship,1,435,103,582
100001034.bmp,1182,820,ship,183,14,236,117
100001034.bmp,1182,820,ship,135,19,180,146
100001037.bmp,1169,829,ship,126,328,508,804
100001037.bmp,1169,829,ship,191,287,571,767
100001037.bmp,1169,829,ship,281,190,667,713
100001037.bmp,1169,829,ship,404,123,794,625
100001037.bmp,1169,829,ship,453,67,850,584
100001038.bmp,993,762,ship,211,184,572,305
100001042.bmp,1181,831,ship,478,444,944,777
100001042.bmp,1181,831,ship,346,325,805,634
100001042.bmp,1181,831,ship,196,39,666,376
100001042.bmp,1181,831,ship,175,154,218,187
100001044.bmp,1180,827,ship,58,407,307,682
100001044.bmp,1180,827,ship,94,468,424,812
100001044.bmp,1180,827,ship,437,128,752,442
100001044.bmp,1180,827,ship,419,19,683,280
100001044.bmp,1180,827,ship,609,693,770,827
100001044.bmp,1180,827,ship,894,483,1150,737
100001047.bmp,1183,808,ship,277,136,421,286
100001047.bmp,1183,808,ship,150,411,279,557
100001047.bmp,1183,808,ship,76,336,204,488
100001047.bmp,1183,808,ship,88,357,218,512
100001047.bmp,1183,808,ship,283,232,313,268
100001047.bmp,1183,808,ship,694,293,967,581
100001047.bmp,1183,808,ship,777,368,1042,654
100001047.bmp,1183,808,ship,634,702,741,808
100001047.bmp,1183,808,ship,716,737,793,808
100001050.bmp,971,708,ship,409,114,764,550
100001052.bmp,1184,819,ship,295,106,384,703
100001052.bmp,1184,819,ship,367,116,450,703
100001052.bmp,1184,819,ship,126,191,157,248
100001053.bmp,1133,812,ship,431,199,539,660
100001053.bmp,1133,812,ship,552,186,641,637
100001053.bmp,1133,812,ship,626,190,722,644
100001055.bmp,1169,826,ship,392,205,698,320
100001055.bmp,1169,826,ship,344,308,362,348
100001055.bmp,1169,826,ship,702,80,901,185
100001055.bmp,1169,826,ship,823,663,1022,768
100001057.bmp,1143,765,ship,415,196,538,295
100001057.bmp,1143,765,ship,508,223,645,339
100001057.bmp,1143,765,ship,341,360,485,477
100001057.bmp,1143,765,ship,553,440,642,518
100001057.bmp,1143,765,ship,808,480,847,500
100001057.bmp,1143,765,ship,770,477,804,509
100001057.bmp,1143,765,ship,375,41,401,60
100001062.bmp,1182,827,ship,503,48,734,753
100001063.bmp,1177,826,ship,672,233,682,255
100001064.bmp,1159,828,ship,392,418,799,530
100001064.bmp,1159,828,ship,409,503,812,605
100001068.bmp,1159,814,ship,159,75,875,503
100001068.bmp,1159,814,ship,88,354,792,786
100001069.bmp,1179,820,ship,397,467,939,781
100001069.bmp,1179,820,ship,193,196,723,517
100001069.bmp,1179,820,ship,246,27,792,344
100001070.bmp,1197,806,ship,216,360,544,529
100001070.bmp,1197,806,ship,280,105,656,306
100001070.bmp,1197,806,ship,661,297,1109,522
100001071.bmp,1118,661,ship,141,88,559,228
100001071.bmp,1118,661,ship,580,165,936,273
100001071.bmp,1118,661,ship,572,220,925,331
100001071.bmp,1118,661,ship,124,238,469,330
100001071.bmp,1118,661,ship,535,384,893,499
100001071.bmp,1118,661,ship,544,338,891,442
100001074.bmp,1186,831,ship,217,135,603,237
100001074.bmp,1186,831,ship,235,25,621,125
100001074.bmp,1186,831,ship,701,53,1045,148
100001074.bmp,1186,831,ship,694,106,1034,204
100001074.bmp,1186,831,ship,369,690,567,737
100001074.bmp,1186,831,ship,642,774,832,820
100001074.bmp,1186,831,ship,641,744,844,787
100001074.bmp,1186,831,ship,665,666,858,709
100001074.bmp,1186,831,ship,491,731,537,752
100001078.bmp,892,629,ship,333,234,519,303
100001078.bmp,892,629,ship,553,288,740,349
100001078.bmp,892,629,ship,353,138,538,193
100001078.bmp,892,629,ship,618,467,667,491
100001078.bmp,892,629,ship,786,176,798,191
100001079.bmp,1154,805,ship,132,239,616,470
100001080.bmp,970,764,ship,117,250,685,383
100001081.bmp,975,785,ship,232,118,834,365
100001082.bmp,1147,829,ship,392,130,777,404
100001082.bmp,1147,829,ship,418,215,812,485
100001082.bmp,1147,829,ship,501,287,884,557
100001083.bmp,1083,822,ship,96,326,173,371
100001083.bmp,1083,822,ship,150,210,628,611
100001084.bmp,893,756,ship,18,335,207,412
100001084.bmp,893,756,ship,90,259,454,394
100001086.bmp,1128,783,ship,386,503,827,639
100001086.bmp,1128,783,ship,504,260,946,392
100001086.bmp,1128,783,ship,545,158,978,292
100001088.bmp,1165,821,ship,324,432,594,796
100001088.bmp,1165,821,ship,481,174,694,522
100001088.bmp,1165,821,ship,549,141,751,486
100001088.bmp,1165,821,ship,595,119,802,462
100001089.bmp,1072,810,ship,328,485,792,595
100001089.bmp,1072,810,ship,646,636,851,695
100001089.bmp,1072,810,ship,319,292,876,421
100001089.bmp,1072,810,ship,343,184,887,311
100001089.bmp,1072,810,ship,355,128,897,239
100001090.bmp,1159,822,ship,869,125,1083,742
100001090.bmp,1159,822,ship,614,83,813,706
100001090.bmp,1159,822,ship,283,31,483,692
100001093.bmp,1135,823,ship,215,185,247,345
100001093.bmp,1135,823,ship,150,196,177,360
100001093.bmp,1135,823,ship,239,422,270,592
100001093.bmp,1135,823,ship,680,492,751,795
100001093.bmp,1135,823,ship,554,85,615,376
100001093.bmp,1135,823,ship,646,77,711,373
100001093.bmp,1135,823,ship,825,55,890,357
100001093.bmp,1135,823,ship,864,496,930,801
100001093.bmp,1135,823,ship,982,568,1010,632
100001093.bmp,1135,823,ship,959,568,979,638
100001093.bmp,1135,823,ship,987,657,1006,720
100001093.bmp,1135,823,ship,964,658,991,718
100001093.bmp,1135,823,ship,271,511,290,548
100001094.bmp,1175,840,ship,141,181,264,704
100001094.bmp,1175,840,ship,476,539,532,839
100001094.bmp,1175,840,ship,545,536,600,808
100001094.bmp,1175,840,ship,421,94,497,431
100001094.bmp,1175,840,ship,499,104,565,409
100001094.bmp,1175,840,ship,837,57,900,349
100001094.bmp,1175,840,ship,923,19,991,357
100001094.bmp,1175,840,ship,876,421,942,764
100001094.bmp,1175,840,ship,976,436,1045,744
100001095.bmp,937,776,ship,140,389,711,538
100001096.bmp,930,740,ship,235,133,288,354
100001096.bmp,930,740,ship,344,116,399,326
100001096.bmp,930,740,ship,610,208,682,236
100001097.bmp,1148,777,ship,469,111,583,605
100001098.bmp,991,731,ship,207,127,654,560
100001098.bmp,991,731,ship,267,79,695,500
100001098.bmp,991,731,ship,803,328,855,381
100001100.bmp,1020,732,ship,206,406,248,582
100001100.bmp,1020,732,ship,622,207,666,377
100001100.bmp,1020,732,ship,767,131,834,581
100001100.bmp,1020,732,ship,692,37,728,406
100001110.bmp,1169,816,ship,206,243,798,603
100001110.bmp,1169,816,ship,330,431,918,782
100001110.bmp,1169,816,ship,396,16,675,167
100001110.bmp,1169,816,ship,97,203,167,250
100001110.bmp,1169,816,ship,185,158,252,199
100001113.bmp,1179,824,ship,201,401,471,623
100001113.bmp,1179,824,ship,289,496,517,687
100001113.bmp,1179,824,ship,526,167,758,359
100001113.bmp,1179,824,ship,837,504,1069,698
100001113.bmp,1179,824,ship,610,732,729,824
100001113.bmp,1179,824,ship,684,767,763,824
100001113.bmp,1179,824,ship,916,583,1119,763
100001113.bmp,1179,824,ship,18,31,223,207
100001114.bmp,664,463,ship,106,102,376,320
100001114.bmp,664,463,ship,181,174,450,395
100001115.bmp,1110,799,ship,197,24,619,404
100001115.bmp,1110,799,ship,590,215,829,425
100001115.bmp,1110,799,ship,243,488,503,733
100001115.bmp,1110,799,ship,649,265,881,483
100001118.bmp,1008,793,ship,438,120,519,640
100001118.bmp,1008,793,ship,375,532,457,568
100001118.bmp,1008,793,ship,378,180,439,199
100001121.bmp,1183,815,ship,268,351,613,612
100001121.bmp,1183,815,ship,456,336,880,650
100001121.bmp,1183,815,ship,488,81,743,273
100001121.bmp,1183,815,ship,862,626,915,665
100001121.bmp,1183,815,ship,957,554,1025,598
100001121.bmp,1183,815,ship,1069,600,1105,623
100001121.bmp,1183,815,ship,258,203,277,218
100001121.bmp,1183,815,ship,173,261,197,276
100001122.bmp,1124,833,ship,138,222,377,474
100001122.bmp,1124,833,ship,200,345,411,567
100001122.bmp,1124,833,ship,813,39,953,353
100001122.bmp,1124,833,ship,824,27,885,62
100001122.bmp,1124,833,ship,765,311,819,340
100001122.bmp,1124,833,ship,590,587,814,811
100001124.bmp,667,603,ship,118,129,376,401
100001124.bmp,667,603,ship,196,224,463,510
100001125.bmp,1066,759,ship,115,114,575,594
100001125.bmp,1066,759,ship,706,214,930,481
100001125.bmp,1066,759,ship,684,307,970,636
100001128.bmp,1028,793,ship,163,232,617,630
100001129.bmp,1052,775,ship,205,259,617,586
100001130.bmp,1056,779,ship,354,269,737,584
100001131.bmp,1124,822,ship,142,500,476,755
100001131.bmp,1124,822,ship,581,101,962,411
100001132.bmp,1121,823,ship,410,390,470,751
100001132.bmp,1121,823,ship,709,77,778,417
100001132.bmp,1121,823,ship,698,451,759,751
100001132.bmp,1121,823,ship,254,702,287,773
100001135.bmp,705,637,ship,95,164,325,462
100001136.bmp,1152,794,ship,358,225,453,633
100001136.bmp,1152,794,ship,463,211,552,614
100001136.bmp,1152,794,ship,650,231,666,268
100001136.bmp,1152,794,ship,555,170,596,180
100001137.bmp,943,822,ship,114,358,681,585
100001137.bmp,943,822,ship,269,275,341,313
100001138.bmp,1137,814,ship,215,125,680,428
100001138.bmp,1137,814,ship,307,342,830,676
100001139.bmp,1040,785,ship,161,177,374,373
100001139.bmp,1040,785,ship,472,419,761,686
100001142.bmp,1190,833,ship,355,2,550,193
100001142.bmp,1190,833,ship,395,73,691,381
100001142.bmp,1190,833,ship,496,197,701,412
100001142.bmp,1190,833,ship,542,275,823,579
100001142.bmp,1190,833,ship,600,350,881,664
100001142.bmp,1190,833,ship,689,503,972,775
100001142.bmp,1190,833,ship,877,563,996,682
100001142.bmp,1190,833,ship,761,703,853,805
100001146.bmp,794,766,ship,324,31,372,329
100001146.bmp,794,766,ship,435,38,477,345
100001146.bmp,794,766,ship,299,454,353,750
100001146.bmp,794,766,ship,409,446,452,747
100001148.bmp,1034,808,ship,302,573,527,779
100001148.bmp,1034,808,ship,636,455,681,693
100001148.bmp,1034,808,ship,635,69,719,393
100001150.bmp,865,669,ship,111,77,454,587
100001154.bmp,1135,819,ship,211,170,430,589
100001154.bmp,1135,819,ship,229,536,361,806
100001154.bmp,1135,819,ship,411,649,474,766
100001154.bmp,1135,819,ship,585,351,701,634
100001154.bmp,1135,819,ship,615,320,736,615
100001154.bmp,1135,819,ship,444,9,559,289
100001154.bmp,1135,819,ship,476,8,589,274
100001155.bmp,1154,817,ship,326,21,571,476
100001155.bmp,1154,817,ship,450,87,701,531
100001155.bmp,1154,817,ship,331,578,448,799
100001155.bmp,1154,817,ship,265,598,310,684
100001155.bmp,1154,817,ship,665,626,754,772
100001157.bmp,1156,827,ship,110,112,172,377
100001157.bmp,1156,827,ship,158,527,217,815
100001157.bmp,1156,827,ship,182,32,303,480
100001157.bmp,1156,827,ship,473,40,576,470
100001157.bmp,1156,827,ship,556,510,615,804
100001157.bmp,1156,827,ship,638,498,690,799
100001157.bmp,1156,827,ship,668,507,712,648
100001157.bmp,1156,827,ship,732,763,861,804
100001157.bmp,1156,827,ship,943,432,1015,757
100001157.bmp,1156,827,ship,1016,388,1116,748
100001159.bmp,1175,824,ship,72,546,142,821
100001159.bmp,1175,824,ship,44,167,95,451
100001159.bmp,1175,824,ship,149,168,205,437
100001159.bmp,1175,824,ship,539,86,640,557
100001159.bmp,1175,824,ship,721,541,774,566
100001159.bmp,1175,824,ship,776,531,820,556
100001159.bmp,1175,824,ship,832,21,1077,396
100001159.bmp,1175,824,ship,924,668,955,716
100001159.bmp,1175,824,ship,1065,461,1140,577
100001163.bmp,814,678,ship,334,287,437,620
100001163.bmp,814,678,ship,141,157,259,228
100001165.bmp,981,802,ship,162,473,325,563
100001165.bmp,981,802,ship,559,265,587,324
100001165.bmp,981,802,ship,518,336,562,401
100001165.bmp,981,802,ship,420,420,535,617
100001165.bmp,981,802,ship,625,217,679,312
100001165.bmp,981,802,ship,547,453,567,493
100001165.bmp,981,802,ship,517,438,557,531
100001165.bmp,981,802,ship,497,580,520,612
100001165.bmp,981,802,ship,489,577,511,603
100001165.bmp,981,802,ship,542,212,650,407
100001167.bmp,1116,814,ship,875,709,947,807
100001167.bmp,1116,814,ship,115,83,833,479
100001168.bmp,1140,822,ship,130,418,482,722
100001168.bmp,1140,822,ship,527,75,877,386
100001169.bmp,841,720,ship,163,156,366,507
100001170.bmp,728,713,ship,122,166,469,409
100001173.bmp,1131,822,ship,535,78,694,272
100001173.bmp,1131,822,ship,303,377,630,782
100001173.bmp,1131,822,ship,253,35,358,173
100001174.bmp,1192,827,ship,324,1,507,282
100001174.bmp,1192,827,ship,206,232,303,377
100001174.bmp,1192,827,ship,175,227,273,355
100001174.bmp,1192,827,ship,371,489,558,742
100001174.bmp,1192,827,ship,454,552,648,817
100001174.bmp,1192,827,ship,691,172,934,504
100001174.bmp,1192,827,ship,620,152,795,385
100001174.bmp,1192,827,ship,76,318,169,362
100001174.bmp,1192,827,ship,4,302,59,332
100001174.bmp,1192,827,ship,38,50,113,160
100001174.bmp,1192,827,ship,1095,589,1190,740
100001174.bmp,1192,827,ship,1073,578,1169,705
100001174.bmp,1192,827,ship,1051,309,1111,358
100001174.bmp,1192,827,ship,1064,298,1115,347
100001174.bmp,1192,827,ship,1073,274,1136,332
100001182.bmp,1169,827,ship,62,273,112,385
100001182.bmp,1169,827,ship,676,265,793,598
100001182.bmp,1169,827,ship,614,72,698,243
100001182.bmp,1169,827,ship,568,213,686,548
100001183.bmp,1141,825,ship,189,528,237,657
100001183.bmp,1141,825,ship,123,289,150,311
100001183.bmp,1141,825,ship,138,216,154,258
100001183.bmp,1141,825,ship,422,319,482,497
100001183.bmp,1141,825,ship,452,293,544,632
100001183.bmp,1141,825,ship,715,154,869,582
100001183.bmp,1141,825,ship,812,102,953,503
100001183.bmp,1141,825,ship,877,94,955,273
100001183.bmp,1141,825,ship,229,247,257,319
100001183.bmp,1141,825,ship,217,324,245,397
100001183.bmp,1141,825,ship,235,392,259,447
100001183.bmp,1141,825,ship,243,451,262,503
100001184.bmp,935,732,ship,368,127,745,232
100001184.bmp,935,732,ship,406,425,493,462
100001184.bmp,935,732,ship,406,424,439,441
100001184.bmp,935,732,ship,132,206,261,256
100001184.bmp,935,732,ship,434,409,577,490
100001187.bmp,1162,808,ship,198,343,969,602
100001187.bmp,1162,808,ship,774,473,890,526
100001189.bmp,973,747,ship,265,82,373,483
100001190.bmp,1083,824,ship,516,26,589,286
100001190.bmp,1083,824,ship,393,326,548,791
100001190.bmp,1083,824,ship,530,343,698,807
100001190.bmp,1083,824,ship,220,166,280,312
100001190.bmp,1083,824,ship,178,164,233,297
100001190.bmp,1083,824,ship,781,39,936,79
100001191.bmp,1150,835,ship,123,142,165,273
100001191.bmp,1150,835,ship,102,289,147,412
100001191.bmp,1150,835,ship,79,427,124,557
100001191.bmp,1150,835,ship,352,380,402,521
100001191.bmp,1150,835,ship,322,375,369,520
100001191.bmp,1150,835,ship,397,31,480,370
100001191.bmp,1150,835,ship,719,64,803,384
100001191.bmp,1150,835,ship,668,492,762,764
100001191.bmp,1150,835,ship,783,502,864,773
100001191.bmp,1150,835,ship,842,90,912,369
100001192.bmp,1131,804,ship,400,76,698,657
100001193.bmp,1035,789,ship,141,320,318,708
100001193.bmp,1035,789,ship,162,520,270,700
100001193.bmp,1035,789,ship,764,150,926,529
100001193.bmp,1035,789,ship,762,558,933,789
100001194.bmp,771,732,ship,221,135,449,608
100001194.bmp,771,732,ship,352,104,547,506
100001195.bmp,969,715,ship,142,408,401,515
100001195.bmp,969,715,ship,634,225,897,334
100001196.bmp,1154,820,ship,222,407,414,810
100001196.bmp,1154,820,ship,219,797,240,820
100001196.bmp,1154,820,ship,320,360,517,769
100001196.bmp,1154,820,ship,554,26,825,599
100001196.bmp,1154,820,ship,782,289,907,546
100001196.bmp,1154,820,ship,1044,1,1124,147
100001197.bmp,976,817,ship,190,306,260,456
100001197.bmp,976,817,ship,260,509,382,783
100001197.bmp,976,817,ship,216,47,344,346
100001199.bmp,842,723,ship,73,345,160,422
100001199.bmp,842,723,ship,220,196,482,351
100001200.bmp,1169,821,ship,306,557,387,654
100001200.bmp,1169,821,ship,234,417,572,772
100001200.bmp,1169,821,ship,393,440,624,700
100001200.bmp,1169,821,ship,409,267,633,514
100001200.bmp,1169,821,ship,534,40,662,179
100001200.bmp,1169,821,ship,666,179,909,450
100001200.bmp,1169,821,ship,458,231,558,324
100001201.bmp,1132,799,ship,203,446,320,599
100001201.bmp,1132,799,ship,215,404,430,683
100001201.bmp,1132,799,ship,381,173,684,480
100001201.bmp,1132,799,ship,482,63,616,191
100001201.bmp,1132,799,ship,439,82,728,380
100001201.bmp,1132,799,ship,472,338,556,418
100001201.bmp,1132,799,ship,32,552,95,622
100001201.bmp,1132,799,ship,170,718,238,799
100001204.bmp,1017,809,ship,359,315,648,565
100001204.bmp,1017,809,ship,368,443,484,544
100001204.bmp,1017,809,ship,501,554,610,655
100001204.bmp,1017,809,ship,141,386,237,470
100001204.bmp,1017,809,ship,170,360,278,457
100001207.bmp,1142,830,ship,127,477,372,681
100001207.bmp,1142,830,ship,372,92,785,447
100001207.bmp,1142,830,ship,472,216,903,574
100001208.bmp,1144,818,ship,194,396,440,604
100001208.bmp,1144,818,ship,257,421,606,743
100001208.bmp,1144,818,ship,627,195,874,379
100001208.bmp,1144,818,ship,536,98,785,311
100001209.bmp,1177,798,ship,111,66,463,384
100001209.bmp,1177,798,ship,50,44,289,247
100001209.bmp,1177,798,ship,368,332,672,607
100001209.bmp,1177,798,ship,860,255,1017,341
100001209.bmp,1177,798,ship,677,274,810,375
100001209.bmp,1177,798,ship,709,291,837,401
100001209.bmp,1177,798,ship,937,440,1062,539
100001209.bmp,1177,798,ship,826,539,944,634
100001209.bmp,1177,798,ship,712,644,822,739
100001210.bmp,1146,833,ship,400,256,534,587
100001210.bmp,1146,833,ship,485,327,607,635
100001210.bmp,1146,833,ship,829,451,950,750
100001210.bmp,1146,833,ship,983,22,1122,331
100001210.bmp,1146,833,ship,567,1,621,169
100001210.bmp,1146,833,ship,601,1,729,311
100001212.bmp,971,823,ship,84,405,230,740
100001212.bmp,971,823,ship,184,391,348,770
100001212.bmp,971,823,ship,220,18,365,368
100001212.bmp,971,823,ship,627,243,758,496
100001212.bmp,971,823,ship,643,270,889,813
100001213.bmp,1187,839,ship,84,580,306,676
100001213.bmp,1187,839,ship,423,30,601,413
100001213.bmp,1187,839,ship,537,51,714,440
100001213.bmp,1187,839,ship,500,489,547,595
100001213.bmp,1187,839,ship,473,482,516,583
100001213.bmp,1187,839,ship,365,439,464,654
100001213.bmp,1187,839,ship,777,537,896,828
100001213.bmp,1187,839,ship,909,178,1015,463
100001213.bmp,1187,839,ship,987,192,1107,462
100001213.bmp,1187,839,ship,859,546,975,832
100001213.bmp,1187,839,ship,77,1,249,481
100001213.bmp,1187,839,ship,51,1,154,144
100001214.bmp,1056,813,ship,38,438,169,746
100001214.bmp,1056,813,ship,189,46,304,361
100001214.bmp,1056,813,ship,298,101,413,374
100001214.bmp,1056,813,ship,206,381,296,598
100001214.bmp,1056,813,ship,261,609,341,648
100001216.bmp,1166,821,ship,508,210,551,495
100001216.bmp,1166,821,ship,572,185,640,602
100001216.bmp,1166,821,ship,645,381,680,479
100001216.bmp,1166,821,ship,503,506,556,664
100001216.bmp,1166,821,ship,345,439,380,597
100001216.bmp,1166,821,ship,398,282,430,611
100001217.bmp,1131,824,ship,163,179,662,547
100001217.bmp,1131,824,ship,752,169,788,206
100001218.bmp,929,778,ship,381,224,467,567
100001218.bmp,929,778,ship,472,191,511,312
100001218.bmp,929,778,ship,493,345,542,471
100001218.bmp,929,778,ship,726,126,759,194
100001218.bmp,929,778,ship,582,535,631,658
100001218.bmp,929,778,ship,621,551,660,660
100001219.bmp,1157,812,ship,523,267,667,582
100001222.bmp,1054,831,ship,97,543,204,804
100001222.bmp,1054,831,ship,313,61,545,549
100001222.bmp,1054,831,ship,622,633,695,773
100001223.bmp,1089,836,ship,72,353,239,740
100001223.bmp,1089,836,ship,221,445,336,718
100001223.bmp,1089,836,ship,267,13,372,291
100001223.bmp,1089,836,ship,355,41,491,342
100001223.bmp,1089,836,ship,532,499,670,824
100001223.bmp,1089,836,ship,683,369,745,505
100001223.bmp,1089,836,ship,713,362,775,510
100001223.bmp,1089,836,ship,781,307,927,340
100001223.bmp,1089,836,ship,775,342,935,385
100001223.bmp,1089,836,ship,967,381,1015,512
100001223.bmp,1089,836,ship,912,521,957,647
100001223.bmp,1089,836,ship,858,660,917,777
100001224.bmp,1159,829,ship,237,494,323,811
100001224.bmp,1159,829,ship,655,70,726,332
100001224.bmp,1159,829,ship,245,24,375,452
100001224.bmp,1159,829,ship,629,454,698,706
100001224.bmp,1159,829,ship,709,462,785,730
100001224.bmp,1159,829,ship,427,771,505,811
100001224.bmp,1159,829,ship,548,761,614,792
100001224.bmp,1159,829,ship,935,32,1041,349
100001225.bmp,1199,836,ship,90,161,167,422
100001225.bmp,1199,836,ship,194,129,332,698
100001225.bmp,1199,836,ship,612,15,717,417
100001225.bmp,1199,836,ship,684,461,739,736
100001225.bmp,1199,836,ship,371,765,598,814
100001225.bmp,1199,836,ship,1028,334,1122,667
100001226.bmp,853,764,ship,416,168,496,430
100001226.bmp,853,764,ship,313,333,406,676
100001226.bmp,853,764,ship,532,387,632,438
100001227.bmp,1185,828,ship,87,256,229,811
100001227.bmp,1185,828,ship,239,527,308,796
100001227.bmp,1185,828,ship,406,156,717,581
100001227.bmp,1185,828,ship,584,8,855,322
100001227.bmp,1185,828,ship,741,44,849,172
100001227.bmp,1185,828,ship,405,692,434,753
100001227.bmp,1185,828,ship,456,676,488,739
100001227.bmp,1185,828,ship,715,653,810,792
100001227.bmp,1185,828,ship,973,158,1142,641
100001228.bmp,1162,821,ship,164,286,428,681
100001228.bmp,1162,821,ship,588,77,783,397
100001228.bmp,1162,821,ship,539,136,698,422
100001228.bmp,1162,821,ship,693,424,786,572
100001228.bmp,1162,821,ship,499,454,595,604
100001228.bmp,1162,821,ship,998,130,1019,176
100001228.bmp,1162,821,ship,1018,185,1054,222
100001228.bmp,1162,821,ship,1046,225,1079,271
100001228.bmp,1162,821,ship,755,109,830,222
100001228.bmp,1162,821,ship,783,85,828,161
100001228.bmp,1162,821,ship,763,404,818,494
100001229.bmp,1147,819,ship,335,293,482,585
100001229.bmp,1147,819,ship,1030,225,1055,293
100001229.bmp,1147,819,ship,1032,299,1048,356
100001229.bmp,1147,819,ship,1082,230,1107,311
100001229.bmp,1147,819,ship,696,335,733,385
100001229.bmp,1147,819,ship,838,454,870,470
100001229.bmp,1147,819,ship,831,443,867,455
100001229.bmp,1147,819,ship,827,430,855,455
100001229.bmp,1147,819,ship,823,416,855,438
100001229.bmp,1147,819,ship,618,125,706,279
100001230.bmp,1047,804,ship,308,255,405,619
100001231.bmp,1111,826,ship,454,654,510,754
100001231.bmp,1111,826,ship,480,685,528,748
100001233.bmp,1149,830,ship,224,218,611,547
100001233.bmp,1149,830,ship,133,329,514,667
100001233.bmp,1149,830,ship,781,286,899,393
100001233.bmp,1149,830,ship,576,119,664,202
100001233.bmp,1149,830,ship,647,577,775,702
100001234.bmp,1183,830,ship,114,302,407,568
100001234.bmp,1183,830,ship,209,225,467,449
100001234.bmp,1183,830,ship,536,500,764,693
100001234.bmp,1183,830,ship,592,96,717,205
100001234.bmp,1183,830,ship,610,72,733,182
100001234.bmp,1183,830,ship,686,214,963,442
100001234.bmp,1183,830,ship,810,581,922,711
100001234.bmp,1183,830,ship,926,30,1028,109
100001235.bmp,1175,825,ship,174,467,467,537
100001235.bmp,1175,825,ship,652,556,937,637
100001235.bmp,1175,825,ship,642,639,932,713
100001235.bmp,1175,825,ship,252,137,716,284
